,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,param_n_jobs,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.0551982879638673,0.13189442023163198,0.0009999752044677734,2.78041453115716e-07,6,3,100,-1,,"{'max_depth': 6, 'min_samples_leaf': 3, 'n_estimators': 100, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
29,0.09920024871826172,0.006112119137397512,0.0019999980926513673,1.1039578345098711e-06,,3,,-1,3,"{'min_samples_leaf': 3, 'min_samples_split': 3, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
30,0.09779896736145019,0.0036543129206343013,0.0021999359130859377,0.001469671797732073,,3,,-1,5,"{'min_samples_leaf': 3, 'min_samples_split': 5, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
31,0.08419981002807617,0.0031873971331488845,0.0010001659393310547,1.0977615769597375e-06,,3,,-1,10,"{'min_samples_leaf': 3, 'min_samples_split': 10, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
32,0.08959965705871582,0.0014966056838002298,0.0017999649047851563,0.00074855768515932,,5,,-1,2,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
33,0.08299942016601562,0.006782443073948828,0.0014000415802001953,0.0004899404784678374,,5,,-1,3,"{'min_samples_leaf': 5, 'min_samples_split': 3, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
34,0.08799977302551269,0.008099219570284248,0.0018006324768066405,0.0004003536706863965,,5,,-1,5,"{'min_samples_leaf': 5, 'min_samples_split': 5, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
35,0.08660063743591309,0.006973541409427122,0.0011993885040283204,0.00040047237927948843,,5,,-1,10,"{'min_samples_leaf': 5, 'min_samples_split': 10, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
36,0.08620052337646485,0.004874447388255031,0.0023993968963623045,0.0018547333679894116,,7,,-1,2,"{'min_samples_leaf': 7, 'min_samples_split': 2, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
37,0.08259987831115723,0.005919128700127552,0.001600360870361328,0.0004898625339533384,,7,,-1,3,"{'min_samples_leaf': 7, 'min_samples_split': 3, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
38,0.08820061683654785,0.009683708918431566,0.0013997554779052734,0.0004896873154151949,,7,,-1,5,"{'min_samples_leaf': 7, 'min_samples_split': 5, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
39,0.08499932289123535,0.008579161705712286,0.0014003753662109376,0.0004904469781317522,,7,,-1,10,"{'min_samples_leaf': 7, 'min_samples_split': 10, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
40,0.08279900550842285,0.011070422340511369,0.0010004043579101562,5.223489356090222e-07,,10,,-1,2,"{'min_samples_leaf': 10, 'min_samples_split': 2, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
41,0.08439974784851074,0.010209642084309876,0.0014006614685058594,0.000489823793784337,,10,,-1,3,"{'min_samples_leaf': 10, 'min_samples_split': 3, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
42,0.0825993537902832,0.0013568177361282829,0.0015998363494873046,0.0004898236313161175,,10,,-1,5,"{'min_samples_leaf': 10, 'min_samples_split': 5, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
43,0.08219962120056153,0.003969377969238183,0.0016001224517822265,0.0004899598814474855,,10,,-1,10,"{'min_samples_leaf': 10, 'min_samples_split': 10, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
44,0.08159947395324707,0.006769985740619767,0.001000690460205078,3.504023183989303e-07,,,,-1,2,"{'min_samples_split': 2, 'n_jobs': -1}",0.3251818103631843,0.36347320412268436,0.48065909134544227,0.3325569435344775,0.33009602465146093,0.3663934148034499,0.05869578541316557,1
