,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44,0.0006000041961669922,0.0004899013824479931,0.00020003318786621094,0.0004000663757324219,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9583333333333334,0.875,0.9166666666666666,0.8333333333333334,0.9083333333333334,0.04859126579037751,22
40,0.0010000705718994141,2.86102294921875e-07,0.00039997100830078123,0.0004898624411217046,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9583333333333334,0.875,0.9166666666666666,0.8333333333333334,0.9083333333333334,0.04859126579037751,22
37,0.0004004001617431641,0.0004903881894932576,0.00019993782043457032,0.0003998756408691407,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9583333333333334,0.875,0.9166666666666666,0.8333333333333334,0.9083333333333334,0.04859126579037751,22
29,0.00039997100830078123,0.0004898624643296146,0.0005997657775878906,0.000489706714496402,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.875,0.9083333333333332,0.031180478223116186,26
26,0.0010002613067626952,1.1680077279964343e-07,0.00039997100830078123,0.0004898624411217046,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.875,0.9083333333333332,0.031180478223116186,26
27,0.0011997699737548828,0.00039956627643765533,0.0006000518798828125,0.0004899407801225282,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.8333333333333334,0.9,0.042491829279939865,28
41,0.0011997222900390625,0.00039958982308316174,0.00039987564086914064,0.0004897457332026785,10,4,sigmoid,0.0001,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.8333333333333334,0.9,0.042491829279939865,28
38,0.0008001327514648438,0.0004000664609833946,0.0004001617431640625,0.0004900966225881793,10,3,sigmoid,0.0001,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.8333333333333334,0.9,0.042491829279939865,28
35,0.0007998943328857422,0.00039994720552788215,0.0,0.0,1,4,sigmoid,0.0001,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.8333333333333334,0.9,0.042491829279939865,28
34,0.0008001327514648438,0.0004000664609833946,0.0006000041961669922,0.0004899014056540585,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.8333333333333334,0.9,0.042491829279939865,28
